date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:44:47	67/67	---MC-	200	added ('OK')	text/plain	date:Mon,%2017%20Aug%202020%2016:14:51%20GMT	https://jituchauhan.com/robots.txt		(from )
21:44:48	42495/42495	---M--	200	added ('OK')	text/html	etag:%22a5ff-5613a596f0a00%22	https://jituchauhan.com/nearme/	C:/My%20Web%20Sites/PGV2/jituchauhan.com/nearme/index.html	(from )
21:44:48	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%221d970-538732cd36800-gzip%22	https://jituchauhan.com/nearme/css/bootstrap.min.css	C:/My%20Web%20Sites/PGV2/jituchauhan.com/nearme/css/bootstrap.min.css	(from https://jituchauhan.com/nearme/)
21:44:49	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-55a804d416b80-gzip%22	https://jituchauhan.com/nearme/css/font-awesome.min.css	C:/My%20Web%20Sites/PGV2/jituchauhan.com/nearme/css/font-awesome.min.css	(from https://jituchauhan.com/nearme/)
21:44:49	6656/6656	---M-Z	200	added ('OK')	text/css	etag:%221a00-55d102fc73e80-gzip%22	https://jituchauhan.com/nearme/css/bootstrap-select.min.css	C:/My%20Web%20Sites/PGV2/jituchauhan.com/nearme/css/bootstrap-select.min.css	(from https://jituchauhan.com/nearme/)
21:44:50	18262/18262	---M-Z	200	added ('OK')	text/css	etag:%224756-55d1448d1ee80-gzip%22	https://jituchauhan.com/nearme/css/flags.css	C:/My%20Web%20Sites/PGV2/jituchauhan.com/nearme/css/flags.css	(from https://jituchauhan.com/nearme/)
21:44:50	8204/8204	---M-Z	200	added ('OK')	text/css	etag:%22200c-55cd4eba78600-gzip%22	https://jituchauhan.com/nearme/css/daterangepicker.css	C:/My%20Web%20Sites/PGV2/jituchauhan.com/nearme/css/daterangepicker.css	(from https://jituchauhan.com/nearme/)
21:44:50	58673/58673	---M-Z	200	added ('OK')	text/css	etag:%22e531-5613a24813c00-gzip%22	https://jituchauhan.com/nearme/css/style.css	C:/My%20Web%20Sites/PGV2/jituchauhan.com/nearme/css/style.css	(from https://jituchauhan.com/nearme/)
21:44:51	25115/25115	---M--	200	added ('OK')	text/html	etag:%22621b-5613a760b4200%22	https://jituchauhan.com/nearme/signup-page.html	C:/My%20Web%20Sites/PGV2/jituchauhan.com/nearme/signup-page.html	(from https://jituchauhan.com/nearme/)
21:44:51	23472/23472	---M--	200	added ('OK')	text/html	etag:%225bb0-5613a71098500%22	https://jituchauhan.com/nearme/login-page.html	C:/My%20Web%20Sites/PGV2/jituchauhan.com/nearme/login-page.html	(from https://jituchauhan.com/nearme/)
21:44:51	42495/42495	---M--	200	added ('OK')	text/html	etag:%22a5ff-5613a596f0a00%22	https://jituchauhan.com/nearme/index.html	C:/My%20Web%20Sites/PGV2/jituchauhan.com/nearme/index-2.html	(from https://jituchauhan.com/nearme/)
21:44:52	2329/2329	---M--	200	added ('OK')	image/png	etag:%22919-55d24f1e3d780%22	https://jituchauhan.com/nearme/images/logo.png	C:/My%20Web%20Sites/PGV2/jituchauhan.com/nearme/images/logo.png	(from https://jituchauhan.com/nearme/)
21:44:52	40619/40619	---M--	200	added ('OK')	text/html	etag:%229eab-561736bf67300%22	https://jituchauhan.com/nearme/index-2.html	C:/My%20Web%20Sites/PGV2/jituchauhan.com/nearme/index-3.html	(from https://jituchauhan.com/nearme/)
21:44:53	49760/49760	---M--	200	added ('OK')	text/html	etag:%22c260-5613a6f3fc180%22	https://jituchauhan.com/nearme/hostel-list-view.html	C:/My%20Web%20Sites/PGV2/jituchauhan.com/nearme/hostel-list-view.html	(from https://jituchauhan.com/nearme/)
21:44:53	46337/46337	---M--	200	added ('OK')	text/html	etag:%22b501-5613a6e88a680%22	https://jituchauhan.com/nearme/hostel-grid-view.html	C:/My%20Web%20Sites/PGV2/jituchauhan.com/nearme/hostel-grid-view.html	(from https://jituchauhan.com/nearme/)
21:44:55	42838/42838	---M--	200	added ('OK')	text/html	etag:%22a756-5613a6df01000%22	https://jituchauhan.com/nearme/hostel-grid-view-sidemap.html	C:/My%20Web%20Sites/PGV2/jituchauhan.com/nearme/hostel-grid-view-sidemap.html	(from https://jituchauhan.com/nearme/)
21:44:55	54368/54368	---M--	200	added ('OK')	text/html	etag:%22d460-5613a7070ee80%22	https://jituchauhan.com/nearme/hostel-single-page.html	C:/My%20Web%20Sites/PGV2/jituchauhan.com/nearme/hostel-single-page.html	(from https://jituchauhan.com/nearme/)
21:44:55	58499/58499	---M--	200	added ('OK')	text/html	etag:%22e483-5613a6fd85800%22	https://jituchauhan.com/nearme/hostel-single-page-grid.html	C:/My%20Web%20Sites/PGV2/jituchauhan.com/nearme/hostel-single-page-grid.html	(from https://jituchauhan.com/nearme/)
